eContactID,fName,lName,PhoneNum
2,John,Adams,507-555-0002
3,Thomas,Jefferson,507-555-0003
4,James,Madison,507-555-0004
5,James,Monroe,507-555-0005
6,John,Adams,507-555-0006
7,Andrew,Jackson,507-555-0007
8,Martin,Buren,507-555-0008
9,William,Harrison,507-555-0009
10,John,Tyler,507-555-0010
11,James,Polk,507-555-0011
12,Zachary,Taylor,507-555-0012
13,Millard,Fillmore,507-555-0013
14,Franklin,Pierce,507-555-0014
15,James,Buchanan,507-555-0015
16,Abraham,Lincoln,507-555-0016
17,Andrew,Johnson,507-555-0017
18,Ulysses,Grant,507-555-0018
19,Rutherford,Hayes,507-555-0019
20,James,Garfield,507-555-0020
21,Chester,Arthur,507-555-0021
22,Grover,Cleveland,507-555-0022
23,Benjamin,Harrison,507-555-0023
24,Grover,Cleveland,507-555-0024
25,William,McKinley,507-555-0025
26,Theodore,Roosevelt,507-555-0026
27,William,Taft,507-555-0027
28,Woodrow,Wilson,507-555-0028
29,Warren,Harding,507-555-0029
30,Calvin,Coolidge,507-555-0030
31,Herbert,Hoover,507-555-0031
32,Franklin,Roosevelt,507-555-0032
33,Harry,Truman,507-555-0033
34,Dwight,Eisenhower,507-555-0034
35,John,Kennedy,507-555-0035
36,Lyndon,Johnson,507-555-0036
37,Richard,Nixon,507-555-0037
38,Gerald,Ford,507-555-0038
39,Jimmy,Carter,507-555-0039
40,Ronald,Reagan,507-555-0040
41,George,Bush,507-555-0041
42,Bill,Clinton,507-555-0042
43,George,Bush,507-555-0043
44,Barack,Obama,507-555-0044
